[2023-06-08 11:21:04:239] ¹²ÏíHUMMAPÓ³ÉäÃû£ºtool_server_4hobwp38781623_1_2
[2023-06-08 11:23:19:105] >>Onrun M2HEART
[2023-06-08 11:23:20:613] >>Onrun M2HEART
[2023-06-08 11:23:22:137] >>Onrun M2HEART

[2023-06-08 11:23:23:644] >>Onrun M2HEART
[2023-06-08 11:23:25:161] >>Onrun M2HEART
[2023-06-08 11:23:26:672] >>Onrun M2HEART

[2023-06-08 11:23:28:193] >>Onrun M2HEART
[2023-06-08 11:23:29:707] >>Onrun M2HEART
[2023-06-08 11:23:31:228] >>Onrun M2HEART
[2023-06-08 11:23:32:732] >>Onrun M2HEART

[2023-06-08 11:23:34:254] >>Onrun M2HEART
[2023-06-08 11:23:35:776] >>Onrun M2HEART
[2023-06-08 11:23:37:281] >>Onrun M2HEART

[2023-06-08 11:23:38:806] >>Onrun M2HEART
[2023-06-08 11:23:40:312] >>Onrun M2HEART
[2023-06-08 11:23:41:833] >>Onrun M2HEART

[2023-06-08 11:23:43:357] >>Onrun M2HEART
[2023-06-08 11:23:44:868] >>Onrun M2HEART
[2023-06-08 11:23:46:372] >>Onrun M2HEART
[2023-06-08 11:23:47:896] >>Onrun M2HEART

[2023-06-08 11:23:49:417] >>Onrun M2HEART
[2023-06-08 11:23:50:928] >>Onrun M2HEART
[2023-06-08 11:23:52:450] >>Onrun M2HEART

[2023-06-08 11:23:53:955] >>Onrun M2HEART
[2023-06-08 11:23:55:477] >>Onrun M2HEART
[2023-06-08 11:23:56:984] >>Onrun M2HEART

[2023-06-08 11:23:58:504] >>Onrun M2HEART
[2023-06-08 11:24:00:025] >>Onrun M2HEART
[2023-06-08 11:24:01:532] >>Onrun M2HEART

[2023-06-08 11:24:03:055] >>Onrun M2HEART
[2023-06-08 11:24:04:561] >>Onrun M2HEART
[2023-06-08 11:24:06:081] >>Onrun M2HEART
[2023-06-08 11:24:07:601] >>Onrun M2HEART

[2023-06-08 11:24:09:108] >>Onrun M2HEART
[2023-06-08 11:24:10:629] >>Onrun M2HEART
[2023-06-08 11:24:12:150] >>Onrun M2HEART

[2023-06-08 11:24:13:654] >>Onrun M2HEART
[2023-06-08 11:24:15:185] >>Onrun M2HEART
[2023-06-08 11:24:16:694] >>Onrun M2HEART

[2023-06-08 11:24:18:203] >>Onrun M2HEART
[2023-06-08 11:24:19:722] >>Onrun M2HEART
[2023-06-08 11:24:21:241] >>Onrun M2HEART
[2023-06-08 11:24:22:748] >>Onrun M2HEART

[2023-06-08 11:24:24:272] >>Onrun M2HEART
[2023-06-08 11:24:25:794] >>Onrun M2HEART
[2023-06-08 11:24:27:300] >>Onrun M2HEART

[2023-06-08 11:24:28:825] >>Onrun M2HEART
[2023-06-08 11:24:30:334] >>Onrun M2HEART
[2023-06-08 11:24:31:854] >>Onrun M2HEART

[2023-06-08 11:24:33:362] >>Onrun M2HEART
[2023-06-08 11:24:34:882] >>Onrun M2HEART
[2023-06-08 11:24:36:403] >>Onrun M2HEART
[2023-06-08 11:24:37:912] >>Onrun M2HEART

[2023-06-08 11:24:39:436] >>Onrun M2HEART
[2023-06-08 11:24:40:964] >>Onrun M2HEART
[2023-06-08 11:24:42:471] >>Onrun M2HEART

[2023-06-08 11:24:43:991] >>Onrun M2HEART
[2023-06-08 11:24:45:498] >>Onrun M2HEART
[2023-06-08 11:24:47:018] >>Onrun M2HEART

[2023-06-08 11:24:48:541] >>Onrun M2HEART
[2023-06-08 11:24:50:057] >>Onrun M2HEART
[2023-06-08 11:24:51:563] >>Onrun M2HEART

[2023-06-08 11:24:53:082] >>Onrun M2HEART
[2023-06-08 11:24:54:594] >>Onrun M2HEART
[2023-06-08 11:24:56:112] >>Onrun M2HEART
[2023-06-08 11:24:57:630] >>Onrun M2HEART

[2023-06-08 11:24:59:140] >>Onrun M2HEART
[2023-06-08 11:25:00:660] >>Onrun M2HEART
[2023-06-08 11:25:02:180] >>Onrun M2HEART

[2023-06-08 11:25:03:697] >>Onrun M2HEART
[2023-06-08 11:25:04:261] GM_OPEN nSocket 0 wGSocketIdx 2145189904
[2023-06-08 11:25:04:261] >>Login: 1 
[2023-06-08 11:25:04:261] >>LoginInfo: *#38805466/°®°¦/10000000001685695769000003064/2/2/0/1/0/1/1/0/1
[2023-06-08 11:25:04:261] >>Login: 2 38805466, sessionID:2
[2023-06-08 11:25:04:261] >>Login: 3 38805466
[2023-06-08 11:25:04:277] >>Login: 5_0 38805466
[2023-06-08 11:25:04:293] >>Login: 5 38805466, 1, 1
[2023-06-08 11:25:04:293] >>Login: 6 38805466
[2023-06-08 11:25:04:293] >>Login: TFrontEngine.LoadHumFromDB 38805466-10000000001685695769000003064,flag:6 
[2023-06-08 11:25:04:371] >>Login: 6-1 38805466
[2023-06-08 11:25:04:371] >>°®°¦£¬±äÁ¿¼ÓÔØÖÐ...
[2023-06-08 11:25:04:371] >>°®°¦£¬Êý¾Ý¿â¼ÓÔØ±äÁ¿
[2023-06-08 11:25:04:371] >>Login: 6-3 38805466, AType:0
[2023-06-08 11:25:04:371] >>Login: 7 38805466
[2023-06-08 11:25:04:371] MakeNewHuman TEnvirnoment.AddPlayer: °®°¦-10000000001685695769000003064 HP:2672 map:3
[2023-06-08 11:25:04:387] >>Login: 8 38805466
[2023-06-08 11:25:05:203] >>Onrun M2HEART
[2023-06-08 11:25:06:731] >>Onrun M2HEART
[2023-06-08 11:25:07:121] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1018,0,41944176,10492,2,{"cfg_custpro_caption":"e5eb6fa33f4074556c988ad4d0985c00","cfg_unbindlist":"79c03e5b2b9f4a29004e75c5ff645fb7","channelId":"1","cfg_stditem":"e93d0dee707642acc7cd15f9b93e9a8efdb73b2449c051d152d2cde1ba2f4120","gameid":1,"cfg_suit":"5f99cda5f1a37da76a4c7d25474215a2","packageName":"package"}
[2023-06-08 11:25:07:136] >>Login: 9 38805466
[2023-06-08 11:25:07:136] >>Login: 10 cfg_game_data,  -> efd4d3db6541820ae84b3796c367d635
[2023-06-08 11:25:07:136] >>Login: 11 38805466
[2023-06-08 11:25:07:292] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1046,0,0,0,1,
[2023-06-08 11:25:07:292] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1046,0,0,0,2,
[2023-06-08 11:25:07:292] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1046,0,0,0,3,
[2023-06-08 11:25:07:292] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1046,0,0,0,4,
[2023-06-08 11:25:07:292] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1046,0,0,0,5,
[2023-06-08 11:25:07:794] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 2020,0,0,0,0,38805466/0.0.0/3.3.3042/nil/0/111/1

[2023-06-08 11:25:08:234] >>Onrun M2HEART
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 81,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 5260,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1078,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1079,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 5148,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 5277,0,0,0,0,[{"key":"BB_FOLLOW_ATTACK","value":1},{"key":"HERO_FOLLOW_ATTACK","value":1},{"key":"HERO_ATTACK_DODGE","value":1}]
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1103,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 1151,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 6209,0,0,0,0,
[2023-06-08 11:25:08:344] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 6208,0,0,0,0,
[2023-06-08 11:25:08:375] ÏûÏ¢¼ÇÂ¼:°®°¦[3-323,333] -> 6202,0,0,0,1,
[2023-06-08 11:25:09:758] >>Onrun M2HEART
[2023-06-08 11:25:11:276] >>Onrun M2HEART
[2023-06-08 11:25:12:779] ÏûÏ¢¼ÇÂ¼:°®°¦[3-333,337] -> 1011,0,0,0,0,{"UserID":"999999999","index":999999999,"Act":"@exit"}
[2023-06-08 11:25:12:795] >>Onrun M2HEART

[2023-06-08 11:25:14:317] >>Onrun M2HEART
[2023-06-08 11:25:14:395] ÏûÏ¢¼ÇÂ¼:°®°¦[3-337,339] -> 1010,0,0,0,0,{"UserID":"10007","index":21}
[2023-06-08 11:25:15:830] >>Onrun M2HEART
[2023-06-08 11:25:17:345] >>Onrun M2HEART

[2023-06-08 11:25:18:859] >>Onrun M2HEART
[2023-06-08 11:25:20:376] >>Onrun M2HEART
[2023-06-08 11:25:21:895] >>Onrun M2HEART
[2023-06-08 11:25:22:517] ÏûÏ¢¼ÇÂ¼:°®°¦[3-337,339] -> 1011,0,0,0,0,{"UserID":"10007","index":21,"Act":"@exit"}

[2023-06-08 11:25:23:408] >>Onrun M2HEART
[2023-06-08 11:25:24:894] ÏûÏ¢¼ÇÂ¼:°®°¦[3-337,339] -> 1010,0,0,0,0,{"UserID":"10007","index":21}
[2023-06-08 11:25:24:924] >>Onrun M2HEART
[2023-06-08 11:25:26:437] >>Onrun M2HEART
[2023-06-08 11:25:27:951] >>Onrun M2HEART

[2023-06-08 11:25:29:481] >>Onrun M2HEART
[2023-06-08 11:25:30:994] >>Onrun M2HEART
[2023-06-08 11:25:32:509] >>Onrun M2HEART

[2023-06-08 11:25:34:024] >>Onrun M2HEART
[2023-06-08 11:25:35:401] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10007","index":21,"Act":"@exit"}
[2023-06-08 11:25:35:540] >>Onrun M2HEART
[2023-06-08 11:25:36:616] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1010,0,0,0,0,{"UserID":"10007","index":21}
[2023-06-08 11:25:37:056] >>Onrun M2HEART

[2023-06-08 11:25:38:562] >>Onrun M2HEART
[2023-06-08 11:25:40:082] >>Onrun M2HEART
[2023-06-08 11:25:41:601] >>Onrun M2HEART

[2023-06-08 11:25:43:120] >>Onrun M2HEART
[2023-06-08 11:25:44:632] >>Onrun M2HEART
[2023-06-08 11:25:46:150] >>Onrun M2HEART
[2023-06-08 11:25:47:663] >>Onrun M2HEART

[2023-06-08 11:25:49:181] >>Onrun M2HEART
[2023-06-08 11:25:50:694] >>Onrun M2HEART
[2023-06-08 11:25:52:208] >>Onrun M2HEART

[2023-06-08 11:25:53:729] >>Onrun M2HEART
[2023-06-08 11:25:55:243] >>Onrun M2HEART
[2023-06-08 11:25:56:761] >>Onrun M2HEART

[2023-06-08 11:25:58:272] >>Onrun M2HEART
[2023-06-08 11:25:59:788] >>Onrun M2HEART
[2023-06-08 11:26:01:301] >>Onrun M2HEART
[2023-06-08 11:26:02:818] >>Onrun M2HEART

[2023-06-08 11:26:04:333] >>Onrun M2HEART
[2023-06-08 11:26:05:849] >>Onrun M2HEART
[2023-06-08 11:26:07:361] >>Onrun M2HEART

[2023-06-08 11:26:08:882] >>Onrun M2HEART
[2023-06-08 11:26:10:392] >>Onrun M2HEART
[2023-06-08 11:26:11:908] >>Onrun M2HEART

[2023-06-08 11:26:13:422] >>Onrun M2HEART
[2023-06-08 11:26:14:936] >>Onrun M2HEART
[2023-06-08 11:26:16:465] >>Onrun M2HEART
[2023-06-08 11:26:17:968] >>Onrun M2HEART

[2023-06-08 11:26:19:495] >>Onrun M2HEART
[2023-06-08 11:26:21:001] >>Onrun M2HEART
[2023-06-08 11:26:22:525] >>Onrun M2HEART

[2023-06-08 11:26:24:036] >>Onrun M2HEART
[2023-06-08 11:26:25:551] >>Onrun M2HEART
[2023-06-08 11:26:27:068] >>Onrun M2HEART

[2023-06-08 11:26:28:590] >>Onrun M2HEART
[2023-06-08 11:26:30:105] >>Onrun M2HEART
[2023-06-08 11:26:31:621] >>Onrun M2HEART

[2023-06-08 11:26:33:133] >>Onrun M2HEART
[2023-06-08 11:26:34:647] >>Onrun M2HEART
[2023-06-08 11:26:36:164] >>Onrun M2HEART
[2023-06-08 11:26:37:677] >>Onrun M2HEART

[2023-06-08 11:26:38:944] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10007","index":21,"Act":"@exit"}
[2023-06-08 11:26:39:194] >>Onrun M2HEART
[2023-06-08 11:26:39:662] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1010,0,0,0,0,{"UserID":"10008","index":22}
[2023-06-08 11:26:40:706] >>Onrun M2HEART
[2023-06-08 11:26:42:228] >>Onrun M2HEART
[2023-06-08 11:26:42:710] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10008","index":22,"Act":"@exit"}

[2023-06-08 11:26:43:733] >>Onrun M2HEART
[2023-06-08 11:26:45:248] >>Onrun M2HEART
[2023-06-08 11:26:46:764] >>Onrun M2HEART

[2023-06-08 11:26:48:291] >>Onrun M2HEART
[2023-06-08 11:26:49:673] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1010,0,0,0,0,{"UserID":"10008","index":22}
[2023-06-08 11:26:49:797] >>Onrun M2HEART
[2023-06-08 11:26:51:221] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10008","index":22,"Act":"@´ò¿ª¼ÀÌ³"}
[2023-06-08 11:26:51:315] >>Onrun M2HEART
[2023-06-08 11:26:52:837] >>Onrun M2HEART

[2023-06-08 11:26:53:134] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10008","index":22,"Act":"@´ò¿ªÃÔ¹¬"}
[2023-06-08 11:26:54:355] >>Onrun M2HEART
[2023-06-08 11:26:54:684] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10008","index":22,"Act":"@exit"}
[2023-06-08 11:26:55:326] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1010,0,0,0,0,{"UserID":"10008","index":22}
[2023-06-08 11:26:55:858] >>Onrun M2HEART
[2023-06-08 11:26:56:404] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10008","index":22,"Act":"@exit"}
[2023-06-08 11:26:57:013] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1010,0,0,0,0,{"UserID":"10009","index":23}
[2023-06-08 11:26:57:385] >>Onrun M2HEART

[2023-06-08 11:26:58:622] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:26:58:903] >>Onrun M2HEART
[2023-06-08 11:26:59:104] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª¿ó¶´"}
[2023-06-08 11:27:00:227] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª¿ó¶´"}
[2023-06-08 11:27:00:414] >>Onrun M2HEART
[2023-06-08 11:27:00:586] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:00:958] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ªÊ¬Ä§¶´"}
[2023-06-08 11:27:01:334] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:01:726] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª¿ó¶´"}
[2023-06-08 11:27:01:930] >>Onrun M2HEART
[2023-06-08 11:27:02:103] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:02:557] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ªÊ¬Ä§¶´"}
[2023-06-08 11:27:02:976] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}

[2023-06-08 11:27:03:433] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª¿ó¶´"}
[2023-06-08 11:27:03:448] >>Onrun M2HEART
[2023-06-08 11:27:03:888] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ªÊ¬Ä§¶´"}
[2023-06-08 11:27:04:482] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:04:954] >>Onrun M2HEART
[2023-06-08 11:27:05:505] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:06:479] >>Onrun M2HEART
[2023-06-08 11:27:06:525] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ªÊ¬Ä§¶´"}
[2023-06-08 11:27:07:089] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:07:482] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª¿ó¶´"}
[2023-06-08 11:27:07:982] >>Onrun M2HEART

[2023-06-08 11:27:08:438] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ª÷¼÷Ã¶´"}
[2023-06-08 11:27:08:813] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@´ò¿ªÊ¬Ä§¶´"}
[2023-06-08 11:27:09:505] >>Onrun M2HEART
[2023-06-08 11:27:09:693] ÏûÏ¢¼ÇÂ¼:°®°¦[3-338,340] -> 1011,0,0,0,0,{"UserID":"10009","index":23,"Act":"@exit"}
[2023-06-08 11:27:11:028] >>Onrun M2HEART
[2023-06-08 11:27:12:531] >>Onrun M2HEART

[2023-06-08 11:27:13:936] ÏûÏ¢¼ÇÂ¼:°®°¦[3-332,340] -> 3199,0,0,0,0,{"index":102,"subid":1,"act":"@¿ª¹Ø"}
[2023-06-08 11:27:14:045] >>Onrun M2HEART
[2023-06-08 11:27:15:093] ÏûÏ¢¼ÇÂ¼:°®°¦[3-332,340] -> 3199,0,0,0,0,{"index":102,"subid":1,"act":"@¿ª¹Ø"}
[2023-06-08 11:27:15:563] >>Onrun M2HEART
[2023-06-08 11:27:16:514] ÏûÏ¢¼ÇÂ¼:°®°¦[3-332,340] -> 3199,0,0,0,0,{"index":102,"subid":3,"act":"@QÈºÀñ°ü"}
[2023-06-08 11:27:17:091] >>Onrun M2HEART
[2023-06-08 11:27:17:856] ÏûÏ¢¼ÇÂ¼:°®°¦[3-332,340] -> 1011,0,0,0,0,{"UserID":"999999999","index":999999999,"Act":"@´ò¿ªÑéÖ¤½çÃæ1"}

[2023-06-08 11:27:18:597] >>Onrun M2HEART
[2023-06-08 11:27:19:569] ÏûÏ¢¼ÇÂ¼:°®°¦[3-332,340] -> 1011,0,0,0,0,{"UserID":"999999999","index":999999999,"Act":"@QÈºMAIN"}
[2023-06-08 11:27:20:119] >>Onrun M2HEART
[2023-06-08 11:27:21:625] >>Onrun M2HEART

[2023-06-08 11:27:23:139] >>Onrun M2HEART
[2023-06-08 11:27:24:656] >>Onrun M2HEART
[2023-06-08 11:27:26:171] >>Onrun M2HEART
[2023-06-08 11:27:27:688] >>Onrun M2HEART

[2023-06-08 11:27:29:203] >>Onrun M2HEART
[2023-06-08 11:27:30:730] >>Onrun M2HEART
[2023-06-08 11:27:32:235] >>Onrun M2HEART

[2023-06-08 11:27:33:752] >>Onrun M2HEART
[2023-06-08 11:27:35:269] >>Onrun M2HEART
[2023-06-08 11:27:36:789] >>Onrun M2HEART

[2023-06-08 11:27:38:303] >>Onrun M2HEART
[2023-06-08 11:27:39:819] >>Onrun M2HEART
[2023-06-08 11:27:41:330] >>Onrun M2HEART
[2023-06-08 11:27:41:517] Íæ¼Ò °®°¦ ÏÂÏß(0,0,0)¡£¡£
[2023-06-08 11:27:42:843] >>Onrun M2HEART

[2023-06-08 11:27:44:359] >>Onrun M2HEART
[2023-06-08 11:27:45:875] >>Onrun M2HEART
[2023-06-08 11:27:47:396] >>Onrun M2HEART

[2023-06-08 11:27:48:913] >>Onrun M2HEART
[2023-06-08 11:27:50:434] >>Onrun M2HEART
[2023-06-08 11:27:51:938] >>Onrun M2HEART

[2023-06-08 11:27:53:454] >>Onrun M2HEART
[2023-06-08 11:27:54:970] >>Onrun M2HEART
[2023-06-08 11:27:56:492] >>Onrun M2HEART
[2023-06-08 11:27:58:010] >>Onrun M2HEART

[2023-06-08 11:27:59:528] >>Onrun M2HEART
[2023-06-08 11:28:01:044] >>Onrun M2HEART
